sdtname,Underweight Children,Poverty,Aganwadi,Immunitized childrens in anganwadi y < 6,SC Population,ST Population,Female literacy,ATM,Internet,Road,MSME,PDS,Mobile,Clean,Kuccha,Post,Panchayat,School,Library,Vocational,Pasture Land,Bank,Public Transport ,Electricity,Market,Water,Ground,Health,Drainage System,long,lat
CHIKHLI,134.7593583,0.257535,98.60885642,101.7100025,21.11268423,3.230855816,64.86297132,96.14008793,63.49591051,110.2571746,104.9209454,100.6657497,113.9388047,88.24854777,139.8108234,105.6860471,109.0654779,98.39502141,164.1704204,51.47716573,109.7045115,106.326929,105.3829209,96.25521332,72.42812666,100.0549799,95.08770755,112.7041999,117.9330639,76.32886389,20.35443705
BULDANA,33.5828877,0.320208,106.4070058,101.5172964,17.18692423,4.254184364,61.10143225,179.7944502,144.4646917,88.94696434,72.5503776,138.0558852,108.8231849,34.96759968,115.1431687,143.6467497,102.1261377,108.4353297,129.030003,25.21330566,87.9264359,117.1766156,113.6387258,99.4473505,131.7642887,142.2769958,101.9583582,122.5485667,22.12205107,76.11067174,20.4608502
DEOLGAON RAJA,71.97860963,0.204454,102.2681695,108.01335,23.53501264,1.086508046,60.80023067,58.99505396,211.9944109,145.9286134,46.28865237,147.978652,151.2537632,149.9452963,95.08613783,71.33808177,132.3220871,103.552825,77.31281427,77.21574859,74.79853054,42.7206411,120.4679761,108.287115,69.84140785,152.5031549,75.17068772,96.36209088,39.52012248,76.1524725,20.06915184
SINDKHED RAJA,6.203208556,0.261892,100.1359847,109.9277757,22.15251237,0.616129456,60.9013207,44.55083721,70.47447904,68.87486177,36.70321463,111.1777483,136.4845717,83.18569831,73.97064809,47.13784754,106.2834849,107.1868118,340.5716892,21.86640668,8.472753902,48.39152266,120.2141456,102.5373567,268.1031035,105.5675723,268.547154,183.8375055,51.16132164,76.28330744,20.02111912
LONAR,77.54010695,0.325773,102.3066885,98.48654477,19.15849071,3.8569822,57.79864034,97.88808953,55.71254084,89.93526395,78.99930005,79.45883173,94.7970855,106.4568948,96.24767599,88.77627954,90.67404434,102.8386675,48.86933445,109.8179535,90.42311247,78.98571865,101.9834718,97.45840349,143.4766699,79.18329594,69.90231474,100.9829631,192.7076449,76.51030725,19.98274671
TELHARA,18.71657754,0.3986545,93.70234779,95.48253461,17.99924689,6.65310194,70.17205032,109.9713627,74.45308142,96.71902919,97.7903957,108.8362901,101.9475751,105.1518739,126.3342359,118.2042002,103.1481618,92.07777137,112.0910705,23.98935878,120.8395678,116.7974032,109.3104397,100.9277965,110.9024297,121.833311,132.9381542,81.93485908,94.71674292,76.87120595,21.04461996
AKOT,98.18181818,0.414077,85.28870848,100.4140949,19.65095793,13.74192004,72.19845266,54.13166241,20.61469727,97.0765256,19.11273388,102.8739016,113.7917869,110.4509609,84.2674521,65.45716464,69.53700297,79.86276452,56.16032386,79.70657919,23.16341591,108.7768582,99.35164031,100.1364719,186.9112946,112.4447225,133.3051733,90.74505898,108.7865737,77.05789346,21.05858381
BALAPUR,36.47058824,0.352941,96.06739105,108.9928688,27.59325498,2.755182367,71.23059867,77.84914337,79.05842666,113.9346425,54.97373973,109.5907543,108.2536107,97.93531952,113.1399854,105.9039564,87.30529459,98.95129523,51.01051663,101.8929466,49.35160778,107.109896,108.502003,101.5889429,148.4829931,73.46903747,91.56397807,73.61791859,100.5755105,76.83387361,20.73287245
AKOLA,60.85561497,0.416721,92.4458029,99.30246939,26.24273697,6.78210493,73.07182145,166.3615315,89.84070987,102.8768769,112.369694,96.63911967,89.57947403,92.65764454,92.63916822,126.8232565,82.29687174,91.28080963,154.823107,56.80238977,96.29236115,135.1347176,105.5001433,101.4413778,159.841383,95.26925786,89.32750159,113.7923783,72.68068502,77.09354279,20.73255317
MURTIJAPUR,64.49197861,0.297981,88.33710054,97.51095355,32.23623981,4.532023371,74.35167372,31.07558398,81.93020712,84.55452166,65.83275004,73.9706842,113.43241,123.7273655,98.09367002,79.85168001,76.98739614,87.46224125,108.598521,30.5049871,153.6601911,74.26007737,95.18457372,90.90770147,125.6953732,82.24351994,47.97217678,86.15609945,140.515991,77.41803035,20.74423599
PATUR,146.4171123,0.424521,94.58665307,93.78680388,20.21252178,12.91622391,66.71179884,52.99204847,34.15196002,85.201829,28.06554081,34.5866323,94.98898244,83.31318322,135.1630937,48.0593393,84.28093893,92.61494036,40.51010619,0,75.58588349,74.82857556,109.4980435,99.16820004,282.3063222,96.21585846,249.311042,184.502707,87.47912826,76.84995359,20.42979301
BARSHITAKLI,123.5294118,0.349784,84.87641501,104.9298285,17.36373801,8.08767901,67.06747752,33.78687654,29.69282674,79.39561247,57.65888511,62.2641308,127.7338116,107.1369152,151.6101289,63.83720964,74.40392647,90.49189239,77.48577358,66.33299208,93.17186086,66.05930006,100.2038945,92.29841344,123.3291975,73.82276934,69.54355828,50.10420268,118.8256032,77.1529064,20.52563498
MALEGAON,87.27272727,0.243124,104.4637573,101.2036835,19.86183622,13.64922693,64.19750374,73.41606715,88.48462368,66.15430473,64.18693129,78.92194773,124.4211747,125.9546688,161.6553271,69.75279107,116.7642175,106.6475071,82.46700189,82.36346516,71.80658932,68.35302576,111.1619843,105.5799371,49.66500114,80.04398394,40.09103345,67.62251991,102.3759363,77.01220283,20.26049347
MANGRULPIR,36.04278075,0.3109,91.35820521,99.83485463,22.10573756,6.882301959,66.88309814,64.77888278,65.0622233,78.97313194,93.66644951,85.26981148,91.68722636,121.1864568,131.2376576,50.35629302,81.5160665,92.42037115,145.5300033,90.84205716,126.7175106,188.9760124,107.9824996,94.75122561,182.5919159,72.90533642,141.4977651,71.6003152,114.2430431,77.32755921,20.30378649
KARANJA,56.89839572,0.3046525,81.10371279,100.6108875,19.91406073,3.497878931,70.09328648,30.14517727,68.88024598,71.77008051,60.31383687,50.92360797,109.0537637,108.9441786,126.4603555,45.56524185,76.52639377,78.68560723,19.7525753,29.59166413,63.06367126,68.76232531,93.80036692,85.59221065,71.37485193,94.62414173,44.31988958,64.1401626,114.6725881,77.51195603,20.54407293
MANORA,54.01069519,0.403715,92.03493266,106.1104649,12.53262038,14.148928,62.56746184,37.29070077,8.739222092,81.86415052,54.86062504,97.35496501,143.4109755,89.65885065,167.526968,70.45736472,100.3687535,88.87292256,48.86933445,54.90897677,67.3740838,64.80879479,105.156291,93.04670621,80.93555741,88.36396794,52.08407765,74.53504417,88.32433723,77.53226164,20.20134482
WASHIM,74.86631016,0.301395,99.75547103,102.1968237,23.42973173,3.245456756,62.4506257,48.78143996,27.43709262,76.0186265,45.92982561,59.93123701,109.3812525,146.4468736,151.3555531,85.53196368,95.48824328,102.7500899,85.23721125,76.61717689,44.53121818,50.867368,110.9959647,94.85615499,80.85000185,76.86143994,111.8819538,113.2284054,114.8403116,77.18457041,20.07953337
RISOD,67.59358289,0.273837,105.3321875,89.63801244,23.45899002,5.023384023,62.54466273,63.5636945,134.0676116,69.18097227,65.83275004,95.66296695,144.1843783,106.4348375,120.4043211,111.4507406,118.2028708,108.4942172,161.0466703,24.95862581,82.20282952,93.89910609,114.9631864,106.0994965,135.4500031,68.85503995,123.357026,88.52402607,94.89391603,76.79330554,20.03743687
DHARNI,148.0213904,0.7490595,104.4935785,98.53695573,3.77196514,82.11646853,55.51690519,16.23949872,13.32026593,79.33495368,51.60438149,89.78085957,105.852825,49.35534955,213.1748579,54.00216083,90.39810386,106.8932387,10.64090347,95.64789502,55.59219818,17.63949052,97.90413297,99.20496986,80.10484054,127.9371065,40.58844081,134.0234717,142.1995928,76.93286249,21.48387833
CHIKHALDARA,122.9946524,0.7597085,93.04222743,101.1791867,6.412275531,80.2467072,56.4955225,47.36520461,9.514475665,35.1483972,14.33455041,39.48695213,58.21905375,21.48592693,170.7190751,32.72858232,85.26561078,91.53501471,32.51387171,26.56885973,20.58970303,70.55796207,92.77206149,95.4789616,371.1524278,49.14250835,194.9836863,97.72544814,112.6718085,77.24592166,21.45841437
ANJANGAON SURJI,109.8395722,0.306383,89.09737224,102.8263146,25.88616859,3.443261292,75.44287371,89.18937291,74.31779417,80.89271167,46.65312995,83.70317452,126.6066466,133.9881426,101.0027753,119.8329983,80.01839599,80.97532877,138.5272473,38.9118733,143.2362412,150.6995843,93.47146553,98.90791605,121.2295303,125.6468938,90.33231038,102.2324711,99.57826137,77.30367343,21.119863
ACHALPUR,52.62032086,0.391304,77.84909717,92.35461948,19.86803694,13.9661897,73.88158703,73.60006731,65.54416569,60.07821276,32.91637502,80.2500292,58.52856493,106.968517,112.716194,60.07417413,58.52842982,67.48996375,61.08666806,72.24865365,47.59111183,83.14286174,78.72408353,89.28937551,136.5061435,108.7184841,86.56633404,85.41791989,122.5553005,77.46757355,21.23356907
CHANDURBAZAR,122.9946524,0.375839,64.98557032,93.97703755,19.42489817,8.254694393,74.91396192,59.57685922,59.33880089,75.52597268,73.62360804,82.34339191,73.78380346,139.2083619,143.3439837,67.53901233,62.86544774,60.1751572,87.83467656,73.1036673,84.97821221,90.59809331,76.03501451,71.76424188,94.04023884,95.33774762,72.26239985,101.7938998,145.3859451,77.69060744,21.26527022
MORSHI,79.2513369,0.3695165,57.47233047,93.58967149,17.64507306,11.32751411,74.1161096,60.65354945,47.97359115,66.57626699,49.96943678,66.36662435,38.54700766,87.47170458,89.96121273,87.0954894,60.29133433,57.13259308,66.23855573,14.88496358,66.32737166,131.7648689,64.13900277,58.70988162,128.6503041,76.5286438,75.79769068,72.34794902,189.3700878,77.95553179,21.27727799
WARUD,118.1818182,0.45,76.61695319,93.8778243,15.42211291,18.12505547,70.78822114,90.5439677,67.90186949,95.18604997,102.3012519,77.86749211,86.16724568,138.3625168,110.6586277,93.06454793,76.43352998,76.450808,114.7023048,159.986587,99.87487243,86.54771607,83.64112079,84.13675121,85.75251995,106.9977599,63.89716455,60.71432004,124.7747341,78.2808667,21.45992672
TEOSA,183.9572193,0.324966,80.78959296,103.281905,17.31724085,3.806049958,74.42111672,123.1201126,102.590868,77.8285938,70.84176363,79.83231625,64.20203951,89.95453061,86.39271339,70.30419653,80.33467423,80.73083804,89.63804553,134.2882584,114.4742728,83.21237918,83.80380947,78.86126852,151.1543513,116.1928799,84.47274607,91.73141832,164.9535547,78.07597301,20.9754076
AMRAVATI,220.4278075,0.325112,75.67656423,106.014276,23.74247894,6.2447795,73.9961197,87.80659194,43.44206331,91.70500975,98.74912506,98.88654106,96.66250221,159.7407354,92.49181715,76.6838295,62.06735813,72.63368422,127.8558169,95.77147112,96.48430606,76.30105201,88.22756169,88.14067499,111.6500026,104.4835199,60.24412898,85.55035078,126.0442445,77.81152843,20.99479964
BHATKULI,100.3208556,0.388489,85.40231315,103.3401304,24.9776764,8.220389182,74.66693288,59.93148338,121.7248791,77.8285938,77.58859827,99.70702824,92.45320152,112.142741,91.22974286,93.60764169,61.10110805,79.804257,61.08666806,39.2206977,102.5808419,82.45761837,93.2420314,90.23926249,114.3083359,114.3485485,49.93022481,87.58726389,103.2362383,77.60200542,20.97346759
DARYAPUR,153.4759358,0.35528,93.92493574,99.59318557,29.87777601,8.122050823,74.84446288,100.6848921,131.743773,90.28116881,71.09937005,82.46538212,103.9121899,112.9126722,92.67744442,121.7503262,95.46437122,89.1268452,124.6168028,131.7815443,86.16790718,174.9837459,95.45652965,96.73648939,148.9950034,130.1360255,88.81705872,90.88466677,154.1661159,77.32378984,20.95358083
NANDGAON-KHANDESHWAR,85.6684492,0.3915175,86.19946486,105.388212,23.49125645,4.311686311,72.49204263,59.52654093,79.71587719,114.6394152,86.07187252,100.5569218,80.9273456,148.2413349,136.4392632,97.68818405,79.06813658,81.0665172,107.7271646,66.78118797,145.5538973,73.89516298,99.2271618,98.04373924,147.6527061,117.2396626,32.50624334,54.8290702,68.35913078,77.76129507,20.69168594
CHANDUR RAILWAY,122.9946524,0.3511045,96.62077464,110.6939417,21.39995592,5.368788166,72.19547424,54.13166241,234.6903997,145.6147884,12.74182259,151.7130266,151.7223825,163.9598113,117.4956135,102.2768197,16.55642928,90.92068576,65.02774342,26.56885973,25.73712879,70.55796207,107.9050928,103.6296047,149.5290357,146.5946012,19.89629452,52.35291864,42.73758253,77.96837945,20.77194575
DHAMANGAON RAILWAY,110.6951872,0.3420165,81.48320326,95.84130732,17.31511944,8.038907166,72.48182187,100.2393837,101.7964697,96.42480648,107.4879857,83.81091795,82.76192114,125.8689628,103.510144,104.3766624,83.11913566,81.90690335,107.0368166,153.0648468,156.7459472,87.10474079,87.72383596,78.58003034,109.8783211,105.5675723,75.32420172,100.5361358,118.3105563,78.15943115,20.75159265
ASHTI,113.5828877,0.3115975,52.89614152,99.58449154,12.54916356,11.22895799,72.94423249,58.34389442,56.64578558,59.78885352,72.59041644,51.1995336,68.45383021,68.8044544,170.4449617,47.8736796,46.90622811,46.9168314,18.20463618,196.3632282,57.06483919,94.15516131,56.73252738,76.01612045,95.38311476,77.97491279,61.27004603,70.93647122,210.5745788,78.18561193,21.22217478
KARANJA,97.96791444,0.3046525,81.10371279,100.6108875,7.907187548,14.13300612,70.31543245,52.88072063,57.00690041,95.48718231,119.4947396,90.95446558,104.7854016,102.2873709,166.1975468,35.16947449,65.98919669,77.77714352,9.240000211,83.05559512,72.41000603,55.14193674,97.69845202,94.63747864,100.1647082,119.7730527,77.74602479,73.6460385,121.454398,78.43892352,21.10372483
ARVI,102.459893,0.283926,59.53848957,96.47087892,13.59939511,19.20821257,70.23308903,57.73216289,60.88391538,72.83042723,73.38237734,64.72161226,92.57266553,143.0744496,150.236075,54.10349933,55.09189816,60.27750646,50.43853326,68.00653087,61.48576455,67.72593378,80.83827493,83.45062072,79.73738714,78.88323958,62.81022884,61.04638495,170.7186418,78.33481755,20.94098882
SELOO,93.36898396,0.2119125,67.97171172,104.3187592,11.01216724,14.78563906,69.49787923,58.19935959,42.6226511,77.37871754,71.92132808,74.85342218,82.51013556,146.5577319,105.1806754,46.18419167,50.73157896,61.42579371,12.71167659,14.28268182,44.2738123,66.37750478,68.61778106,66.97526765,57.41618628,89.55135254,64.17417538,65.66811182,146.2016092,78.71353757,20.86123152
WARDHA,140.2139037,0.207514,75.12684235,94.1548171,12.8760164,11.95590651,71.76504053,183.2082688,102.6720317,101.4727236,129.3738537,72.17351976,85.15122821,125.4347318,61.01158429,69.83305895,76.01287214,75.21252759,69.59240665,93.83179575,109.0733002,128.0537698,86.75049757,87.72627037,110.0174076,106.8778389,77.29332642,104.7721068,153.2208727,78.59005083,20.71908445
DEOLI,105.3475936,0.196733,67.75222601,109.9608407,20.55520138,13.47502438,72.33911487,50.68031481,53.44708813,78.35093336,43.74122318,67.45280836,105.7107407,160.7148684,107.7035069,58.73023287,65.10343566,65.18483774,66.41637736,49.74974406,115.6616204,55.04941672,79.67030955,86.48434016,89.99698192,93.57815832,29.80438212,71.88863862,150.3507632,78.4252384,20.61450621
